TR:mock:CellLine,TR:EGF,TR:PMA,TR:EBr,TR:GF,TR:H89,TR:PD,TR:BI,TR:PP2,TR:bPKA,DA:LPL,DA:PKA,DV:LPL,DV:PKA
1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,1,10,10,0.065,0.273
1,0,0,0,1,0,0,0,0,1,10,10,0.029,0.238
1,0,0,0,0,1,0,0,0,1,10,10,0.167,0.223
1,0,0,0,1,1,0,0,0,1,10,10,0.067,0.181
1,0,0,0,0,0,1,0,0,1,10,10,0.021,NA
1,0,0,0,0,0,0,1,0,1,10,10,0.025,NA
1,0,0,0,1,0,0,1,0,1,10,10,0.017,NA
1,0,0,0,0,0,0,0,1,1,10,10,0.023,NA
1,1,0,0,0,0,0,0,0,1,10,10,0.719,NA
1,1,0,0,1,0,0,0,0,1,10,10,0.242,NA
1,1,0,0,0,0,1,0,0,1,10,10,0.341,NA
1,1,0,0,0,0,0,1,0,1,10,10,0.114,NA
1,1,0,0,1,0,0,1,0,1,10,10,0.058,NA
1,1,0,0,0,0,0,0,1,1,10,10,0.637,NA
1,1,0,0,0,1,0,0,0,1,10,10,0.475,NA
1,1,1,0,0,0,0,0,0,1,10,10,1.000,NA
1,0,1,0,0,0,0,0,0,1,10,10,0.716,0.747
1,0,1,0,1,0,0,0,0,1,10,10,0.125,0.337
1,0,1,0,0,1,0,0,0,1,10,10,0.390,0.284
1,0,1,0,1,1,0,0,0,1,10,10,0.115,0.250
1,0,1,0,0,0,1,0,0,1,10,10,0.418,NA
1,0,1,0,0,0,0,1,0,1,10,10,0.104,NA
1,0,1,0,1,0,0,1,0,1,10,10,0.035,NA
1,0,1,0,0,0,0,0,1,1,10,10,0.519,NA
1,0,0,1,0,0,0,0,0,1,10,10,0.287,1.000
1,0,0,1,1,0,0,0,0,1,10,10,0.193,0.803
1,0,0,1,0,1,0,0,0,1,10,10,0.118,0.328
1,0,0,1,1,1,0,0,0,1,10,10,0.071,0.320
